"CITY","COUNTRY","Browser","Operating_System","Country_Code","Date"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Manchester","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Newbury","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Newcastle","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Newcastle","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Norwich","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Norwich","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Oxford","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Plymouth","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Plymouth","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Sheffield","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Sheffield","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Watford","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Watford","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Aberystwyth","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Aberystwyth","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Bath","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Bath","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Brighton","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Bury St Edmuds","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cardiff","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cardiff","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cardiff","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Colchester","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Colchester","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Edinburgh","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Glasgow","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Huddersfield","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Keswick","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
