"url","type","date","title","contributor","wordcount","viewcount"
"http://www.lrb.co.uk/v13/n14/linda-colley/at-least-they-paid-their-taxes","book review","25 July 1991","At least they paid their taxes","Linda Colley","3291","795"
"http://www.lrb.co.uk/v13/n18/perry-anderson/perry-anderson-reflects-on-his-experience-of-the-moscow-coup-and-of-its-failure-and-considers-gorbachevs-failure-and-success","essay","26 September 1991","Perry Anderson reflects on his experience of the Moscow coup, and of its failure, and considers Gorbachev’s failure and success","Perry Anderson","6082","2231"
"http://www.lrb.co.uk/v13/n20/ross-mckibbin/homage-to-wilson-and-callaghan","book review","24 October 1991","Homage to Wilson and Callaghan","Ross McKibbin","3007","3019"
"http://www.lrb.co.uk/v13/n23/martin-amis/return-of-the-male","book review","5 December 1991","Return of the Male","Martin Amis","2547","2963"
"http://www.lrb.co.uk/v14/n01/gordon-burn/deterioration-of-the-middle-aged-businessman","book review","9 January 1992","Deterioration of the Middle-Aged Businessman","Gordon Burn","2713","751"
"http://www.lrb.co.uk/v14/n05/christopher-hitchens/booze-and-fags","book review","12 March 1992","Booze and Fags","Christopher Hitchens","3479","3861"
"http://www.lrb.co.uk/v14/n05/susannah-clapp/diary","diary","12 March 1992","Diary","Susannah Clapp","2055","1573"
"http://www.lrb.co.uk/v14/n07/basil-davidson/tordays-scorpion","book review","9 April 1992","Torday’s Scorpion","Basil Davidson","3420","423"
"http://www.lrb.co.uk/v14/n07/stephen-spender/diary","diary","9 April 1992","Diary","Stephen Spender","2584","1310"
"http://www.lrb.co.uk/v14/n08/hilary-mantel/plain-girls-revenge-made-flesh","book review","23 April 1992","Plain girl’s revenge made flesh","Hilary Mantel","2663","4804"
"http://www.lrb.co.uk/v14/n10/gordon-burn/where-mine-is-at","book review","28 May 1992","Where mine is at","Gordon Burn","2558","742"
"http://www.lrb.co.uk/v14/n10/ross-mckibbin/the-sense-of-an-ending","essay","28 May 1992","The Sense of an Ending","Ross McKibbin","2716","1022"
"http://www.lrb.co.uk/v14/n15/jenny-turner/she-who-can-do-no-wrong","book review","6 August 1992","She Who Can Do No Wrong","Jenny Turner","4674","974"
"http://www.lrb.co.uk/v14/n19/wynne-godley/maastricht-and-all-that","essay","8 October 1992","Maastricht and All That","Wynne Godley","1954","11060"
"http://www.lrb.co.uk/v14/n22/john-lloyd/why-georgia-matters","essay","19 November 1992","Why Georgia matters","John Lloyd","2638","872"
"http://www.lrb.co.uk/v15/n01/basil-davidson/lutfis-bar-will-not-be-opening-again","book review","7 January 1993","Lutfi’s bar will not be opening again","Basil Davidson","3087","780"
"http://www.lrb.co.uk/v15/n04/tom-nairn/demonising-nationalism","essay","25 February 1993","Demonising Nationalism","Tom Nairn","4811","798"
